timestamp,origin,destination,distance_km,duration_traffic_min,duration_normal_min,congestion_level
35:44.5,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,37,24,High
35:54.9,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,9,6,High
36:05.6,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,20,12,High
36:16.2,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,56,42,Moderate
36:26.6,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,24,17,Moderate
36:37.1,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,20,15,Moderate
36:47.6,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,34,26,Moderate
36:58.0,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,56,42,Moderate
37:08.6,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,50,36,Moderate
37:19.0,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,34,26,Moderate
37:29.4,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,24,17,Moderate
37:39.9,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,51,40,Moderate
37:50.3,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,19,12,High
38:00.8,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,31,25,Moderate
38:11.3,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,34,26,Moderate
38:21.8,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,50,36,Moderate
38:32.1,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,15,10,High
38:42.6,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,50,36,Moderate
38:53.1,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,34,26,Moderate
39:03.7,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,39,28,Moderate
39:15.3,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,34,26,Moderate
39:26.9,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
39:37.3,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,19,13,Moderate
39:47.7,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
39:58.2,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,30,22,Moderate
40:08.6,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,30,22,Moderate
40:19.2,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,49,36,Moderate
40:29.7,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,19,13,Moderate
40:40.1,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
40:50.6,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,49,36,Moderate
41:00.9,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,15,10,High
41:11.3,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,19,12,High
41:21.8,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,23,17,Moderate
41:32.1,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
41:42.6,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,50,36,Moderate
41:53.0,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
42:03.4,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,31,25,Moderate
42:14.1,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,33,26,Moderate
42:24.6,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
42:35.0,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
42:45.4,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,29,22,Moderate
42:55.8,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,15,10,High
43:06.3,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
43:16.6,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
43:27.0,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,19,12,High
43:37.4,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,31,25,Moderate
43:47.8,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
43:58.2,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,23,17,Moderate
44:08.6,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,23,17,Moderate
44:19.1,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,36,28,Moderate
44:29.5,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,31,25,Moderate
44:40.1,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,36,28,Moderate
44:50.5,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,29,22,Moderate
45:00.8,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,19,12,High
45:11.4,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,19,13,Moderate
45:21.7,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
45:32.1,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,15,10,High
45:42.5,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,36,28,Moderate
45:53.0,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,15,10,High
46:03.3,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
46:13.6,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,15,10,High
46:24.1,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
46:34.4,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,28,22,Moderate
46:45.2,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,33,26,Moderate
46:55.8,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,51,40,Moderate
47:06.5,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",22.7,57,46,Moderate
47:17.1,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
47:27.7,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
47:38.1,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,31,25,Moderate
47:48.6,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,18,13,Moderate
48:00.8,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,31,25,Moderate
48:11.4,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,55,42,Moderate
48:21.7,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
48:32.2,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,32,26,Moderate
48:42.7,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,23,17,Moderate
48:53.3,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,34,24,Moderate
49:03.9,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,22,17,Moderate
49:14.4,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,34,24,Moderate
49:25.0,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,55,42,Moderate
49:35.5,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
49:46.1,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,54,42,Moderate
49:56.6,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,52,40,Moderate
50:07.0,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,18,12,High
50:17.3,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
50:27.7,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,31,25,Moderate
50:38.1,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,33,26,Moderate
50:48.5,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,28,22,Moderate
50:59.0,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,49,36,Moderate
51:09.3,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
51:20.0,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,30,25,Moderate
51:30.6,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,33,26,Moderate
51:41.0,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,27,22,Moderate
51:51.5,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,34,28,Moderate
52:01.9,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,18,12,High
52:12.5,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,30,25,Moderate
52:23.0,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,14,10,Moderate
52:33.8,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,27,22,Moderate
52:44.3,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
52:55.0,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,27,22,Moderate
53:05.4,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,34,24,Moderate
53:15.7,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,18,13,Moderate
53:26.2,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,34,24,Moderate
53:36.6,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,52,40,Moderate
53:46.9,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,14,10,Moderate
53:57.9,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,33,24,Moderate
54:08.3,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,33,24,Moderate
54:18.8,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,31,25,Moderate
54:29.6,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,22,17,Moderate
54:40.0,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,33,26,Moderate
54:50.4,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,18,13,Moderate
55:00.8,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
55:11.2,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,18,13,Moderate
55:21.7,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,30,25,Moderate
55:32.3,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,34,28,Moderate
55:42.6,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
55:53.0,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,17,12,Moderate
56:03.5,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,21,17,Moderate
56:15.1,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,22,15,Moderate
56:25.6,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,17,12,Moderate
56:36.0,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
56:47.0,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,52,40,Moderate
56:57.6,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,30,25,Moderate
57:08.0,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,22,15,Moderate
57:19.0,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,54,42,Moderate
57:29.4,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,14,10,Moderate
57:39.8,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
57:50.2,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,32,24,Moderate
58:00.7,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,26,22,Low
58:11.4,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,52,40,Moderate
58:22.6,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
58:33.8,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,26,22,Low
58:44.6,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,30,25,Moderate
58:55.0,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,32,24,Moderate
59:05.5,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
59:17.2,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,17,13,Moderate
59:27.8,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
59:38.2,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,14,10,Moderate
59:49.0,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,54,42,Moderate
59:59.6,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,50,36,Moderate
00:10.3,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,33,28,Low
00:20.7,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
00:31.3,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,52,40,Moderate
00:41.7,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,31,24,Moderate
00:52.2,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,50,36,Moderate
01:02.6,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,17,12,Moderate
01:13.1,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,22,17,Moderate
01:23.7,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
01:34.9,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,52,40,Moderate
01:45.4,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,16,13,Moderate
01:56.2,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
02:06.5,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
02:17.1,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
02:27.6,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,31,24,Moderate
02:38.3,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
02:48.8,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,33,28,Low
02:59.8,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",20.4,55,47,Low
03:10.3,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,25,22,Low
03:20.7,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,22,17,Moderate
03:31.3,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,32,26,Moderate
03:41.7,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,16,13,Moderate
03:52.1,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,31,24,Moderate
04:02.8,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,13,10,Moderate
04:13.2,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,25,22,Low
04:23.7,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
04:34.5,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,32,26,Moderate
04:44.9,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
04:55.5,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,29,25,Low
05:06.2,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,25,22,Low
05:16.9,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,21,17,Moderate
05:27.6,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
05:38.0,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
05:48.5,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
05:58.9,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,25,22,Low
06:09.2,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
06:19.7,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,31,24,Moderate
06:30.3,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,50,40,Moderate
06:40.7,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,29,25,Low
06:51.2,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,31,24,Moderate
07:01.6,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,17,12,Moderate
07:12.1,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",20.4,55,47,Low
07:22.4,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,16,13,Moderate
07:32.9,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,21,15,Moderate
07:43.3,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,17,12,Moderate
07:54.0,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,31,26,Low
08:04.4,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,16,13,Moderate
08:15.0,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,25,22,Low
08:25.4,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,21,17,Moderate
08:35.9,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,31,26,Low
08:46.5,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,13,10,Moderate
08:56.9,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,17,12,Moderate
09:07.4,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,31,28,Low
09:17.9,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,31,24,Moderate
09:28.3,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,13,10,Moderate
09:38.8,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,31,26,Low
09:49.4,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",22.7,56,46,Moderate
10:00.4,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,31,26,Low
10:10.8,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,31,26,Low
10:22.1,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
10:32.6,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,49,36,Moderate
10:43.1,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,25,22,Low
10:53.8,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",22.7,55,46,Low
11:04.3,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,13,10,Moderate
11:14.7,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,31,24,Moderate
11:25.5,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",22.7,55,46,Low
11:35.9,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,16,12,Moderate
11:46.5,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,16,13,Moderate
11:57.2,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,20,15,Moderate
12:07.5,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,25,22,Low
12:18.1,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,31,28,Low
12:28.8,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,31,26,Low
12:39.4,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,30,25,Moderate
12:49.8,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,31,28,Low
13:00.1,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,13,10,Moderate
13:11.0,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,31,28,Low
13:21.6,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,21,17,Moderate
13:32.3,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,48,36,Moderate
13:43.1,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,16,12,Moderate
13:53.5,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,48,36,Moderate
14:04.0,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,24,22,Low
14:14.4,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,13,10,Moderate
14:25.1,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",20.4,53,47,Low
14:35.5,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,30,26,Low
14:46.0,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,49,40,Moderate
14:56.6,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,31,24,Moderate
15:07.4,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,48,36,Moderate
15:17.9,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,30,26,Low
15:28.6,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
15:39.3,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,30,25,Moderate
15:49.8,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
16:00.2,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,20,15,Moderate
16:10.6,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
16:21.7,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,30,24,Moderate
16:32.0,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,20,15,Moderate
16:42.8,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,48,36,Moderate
16:53.5,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,30,26,Low
17:04.5,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,30,28,Low
17:15.1,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,30,26,Low
17:25.5,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,30,25,Moderate
17:36.2,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",20.4,53,47,Low
17:46.6,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,20,15,Moderate
17:58.2,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,30,25,Moderate
18:08.5,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
18:18.9,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,30,26,Low
18:29.4,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,30,25,Moderate
18:39.9,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,22,19,Low
18:50.6,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",20.4,53,47,Low
19:01.5,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,30,28,Low
19:12.5,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,13,10,Moderate
19:23.0,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,16,12,Moderate
19:33.4,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,20,15,Moderate
19:44.0,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,48,36,Moderate
19:54.5,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,48,36,Moderate
20:04.9,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,15,13,Low
20:15.3,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,48,40,Moderate
20:25.7,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,13,10,Moderate
20:36.3,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,16,12,Moderate
20:46.7,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,16,12,Moderate
56:59.1,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,27,19,Moderate
57:09.6,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,42,24,High
57:20.0,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,16,10,High
57:30.6,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,42,42,Low
57:41.0,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
57:51.4,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,22,13,High
58:01.8,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,23,15,High
58:12.3,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,56,36,High
58:22.7,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,9,6,High
58:33.0,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,27,19,Moderate
58:43.5,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,42,42,Low
58:53.8,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,9,6,High
